Date;Overall AQI Value;Main Pollutant;Site Name (of Overall AQI);Site ID (of Overall AQI);Source (of Overall AQI);CO;Ozone;PM10;PM25;NO2
1/1/2015;49;PM2.5;Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker;18-089-0022;AQS;5;26;19;49;22
1/2/2015;60;PM2.5;Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker;18-089-0022;AQS;9;26;19;60;47
1/3/2015;71;PM2.5;MAYFAIR PUMP STATION;17-031-0052;AQS;9;10;25;71;31
1/4/2015;71;PM2.5;Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker;18-089-0022;AQS;8;31;19;71;43
1/5/2015;52;PM2.5;Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker;18-089-0022;AQS;6;28;25;52;41
1/6/2015;63;PM2.5;IEPA TRAILER;17-031-3103;AQS;7;31;20;63;53
1/7/2015;67;PM2.5;Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker;18-089-0022;AQS;6;31;24;67;64
1/8/2015;52;PM2.5;NORTHBROOK WATER PLANT;17-031-4201;AQS;7;30;35;52;44
1/9/2015;73;PM2.5;COM ED TRAINING CENTER;17-197-1011;AQS;7;32;23;73;41
1/10/2015;55;PM2.5;NORTHBROOK WATER PLANT;17-031-4201;AQS;7;29;28;55;34
1/11/2015;55;PM2.5;CHIWAUKEE PRAIRIE STATELINE;55-059-0019;AQS;7;24;26;55;29
1/12/2015;64;PM2.5;CITY HALL;17-043-4002;AQS;9;35;26;64;27
1/13/2015;61;PM2.5;Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker;18-089-0022;AQS;18;34;23;61;53
1/14/2015;88;PM2.5;Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker;18-089-0022;AQS;10;27;66;88;57
1/15/2015;93;PM2.5;REGIONAL OFFICE BUILDING;17-031-4007;AQS;7;27;55;93;47
1/16/2015;75;PM2.5;GRAVES ES;17-031-3301;AQS;9;35;35;75;53
1/17/2015;67;PM2.5;Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker;18-089-0022;AQS;8;31;45;67;32
1/18/2015;65;PM2.5;MAYFAIR PUMP STATION;17-031-0052;AQS;6;30;18;65;33
1/19/2015;61;PM2.5;Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker;18-089-0022;AQS;11;29;27;61;54
